group,N,err_yaw_mean,err_yaw_std,err_yaw_median,err_yaw_min,err_yaw_max,err_pitch_mean,err_pitch_std,err_pitch_median,err_pitch_min,err_pitch_max,err_roll_mean,err_roll_std,err_roll_median,err_roll_min,err_roll_max,err_slant_mean,err_slant_std,err_slant_median,err_slant_min,err_slant_max
OVERALL,2212,2.128946299668777,2.743764853476299,1.1674296935833617,0.00294605211564658,23.93642129066832,0.6147422631965996,1.181005680788258,0.2123661278351392,0.00027651975166520515,17.794425212865207,1.5682117175280255,5.4715750402796575,0.3506456880567542,0.0003672039400548499,127.485374995846,0.022205050590993577,0.040231441383187225,0.011214392263639822,6.517451879906044e-06,0.8051110178147403
CYUL_06L,18,5.807679106567372,4.592346553987134,4.911995874870364,0.3596904233027587,16.562010530372305,2.7411876706223888,1.891302921273464,2.9167074831588593,0.4793104637324319,6.247213024583289,8.442453901897167,4.915804425006187,9.055532810544593,1.5029735715160277,15.662412791443314,0.0307758177790926,0.020404517841970393,0.02660189693397691,0.005307123141929826,0.08845957873679455
CYUL_24R,25,4.191409982262778,3.36126269191785,3.3941944149166545,0.9627534660988886,13.17873019894435,1.9923987675458914,1.2166732027372356,1.8775191743173139,0.23454797110863979,4.244327080121991,4.737008175244017,3.317546491173061,3.579716449420344,0.03626908539412965,12.130437344146,0.02779290360291762,0.018147918959644047,0.024437120585441008,0.0026991450258902067,0.0641282839750974
CYVR_08L,31,6.051283542404432,4.399795275725042,5.950869901485021,0.015348868082753597,16.614851691827823,2.0902652218759465,1.6476042827280717,1.751062799174747,0.04224961237216007,6.825082596692852,5.286439996456467,4.3910302023117636,3.8189184217973224,0.1588828413496015,17.162468316428516,0.02502162164114139,0.02402928606332678,0.015470398983658151,0.00290488956543683,0.09994430024826251
CYVR_26R,26,6.35805879123785,4.770628911420165,5.276437263382519,0.345792180381153,19.092761488955645,2.7368006214305702,1.7890117157309953,2.495680534340849,0.07227731505560087,6.406044048283746,6.0446467680037586,5.834593463032216,3.8590720857987777,0.32043826851970914,22.164502771768284,0.016579624174806004,0.01701084907096122,0.011466064064315606,0.0007060047246828238,0.07667759859403445
CYYZ_05,33,1.177223071721635,0.08584286498416042,1.1757615422060113,1.0217430300157844,1.4820142548264954,0.21342363108820708,0.10435953025682078,0.20231574659713658,0.01565515213252411,0.4260148627948013,0.25644753679127213,0.2065529744874605,0.21307083723139475,0.0003817963674306313,0.6830194347689595,0.021733478454784218,0.027944487639441275,0.009376691564486395,0.00019118662915641738,0.11790286602925937
CYYZ_23,30,1.1697306988573355,0.10709786821527846,1.1477452250169193,0.9997086224752252,1.4673466640902006,0.14136957605746497,0.10141262153137914,0.1376452364931211,0.011636117093331677,0.32775319549106996,0.3017448946503463,0.25308846840378907,0.23253225743852846,0.0016755894323772225,1.1025332902090952,0.021282886573477967,0.02460799006050335,0.01130253458824454,0.001313643840440637,0.09486327361536917
DAAS_27,31,1.1358717189964977,0.08531429936746708,1.1245526472309564,1.0474449813482778,1.4990876511316031,0.16915502490363157,0.12153904972776532,0.1583431868662899,0.004892907255083401,0.46965856231292946,0.4074661285140105,0.29663374913210777,0.33527308556397983,0.036245010298953995,1.1054630156984393,0.04615795338969081,0.030074690795978343,0.04030903322171442,0.0022101148891070233,0.1106478969960143
DAAS_9,29,1.1619888477310412,0.05342736136072333,1.1565624789350437,1.0659331001708239,1.31720172166537,0.1669486192018811,0.09669298302442632,0.1397154960644258,0.01343221407448425,0.3985207939412021,0.31297139760074216,0.2622444347145638,0.1887603091980563,0.0015607912413516944,1.0832269469706381,0.025819939460153953,0.020856030543658834,0.022031402930739352,0.00044621764227803506,0.07567247635695962
EDDV_09L,27,6.55364742698927,5.218381776697015,5.51070924825315,0.38631242071436134,18.539050986466975,2.0632997352234264,1.3492571086073222,2.249494275580602,0.1648621798011476,5.297525559648818,4.229691179181965,3.767755121482025,2.912107556950555,0.19318746075327198,15.98725552910052,0.01745073047928155,0.015648045610550942,0.015642375293908106,0.00013274944174712644,0.05443003240545741
EDDV_27R,25,6.383219585223959,5.130214126904858,5.910194141013449,0.21808491049486634,16.710106211622488,2.29096888097701,1.8697751123706043,2.0340945002032242,0.05416067062814989,6.5927598317095715,3.856842252480423,2.959425631562693,3.3868696794702795,0.03677986455960369,10.423274000436855,0.01782063672386287,0.014112599882174757,0.013401608977824941,0.002329541251243461,0.05498222287487531
