group,N,err_yaw_mean,err_yaw_std,err_yaw_median,err_yaw_min,err_yaw_max,err_pitch_mean,err_pitch_std,err_pitch_median,err_pitch_min,err_pitch_max,err_roll_mean,err_roll_std,err_roll_median,err_roll_min,err_roll_max,err_slant_mean,err_slant_std,err_slant_median,err_slant_min,err_slant_max
OVERALL,2212,3.37776305955362,6.258471872944871,1.356159078276523,0.0037147254815295128,69.57350233405236,8.401984079904711,29.93564472818351,0.3552671538868353,0.00024328315434729575,221.30426655409246,13.728424590598763,37.36056753571415,2.3575433453706207,0.0008320096738252403,186.66687487679127,90897592.54139434,4121644154.025569,0.10148556627001482,2.278850241421715e-05,193739559362.95087
CYUL_06L,18,5.630478089700388,4.44229158259071,4.821139787425025,0.3695202036134617,16.68088885898056,3.3500015357200024,2.932327341645394,3.420882885342941,0.35368846976703594,12.332893509995117,8.428475169032927,5.581453205432885,8.531252818248305,0.7808775163494864,22.713632141866416,0.09640508689306479,0.09525085589338825,0.08161115965894494,0.0031666996863765062,0.3763009971333522
CYUL_24R,25,4.597182760960331,3.757720384833896,3.4135451434302695,0.033510672892418825,13.248348719233746,5.18503991202316,16.145840293038653,1.863278814264504,0.3803962122061648,82.45732342258358,8.024415529092288,19.22870364179507,3.9020782266153136,0.4048015728228793,99.14874719616438,1002.0242063936327,5009.25121857368,0.1302093424255053,0.001122511748192112,25046.43004433822
CYVR_08L,31,5.958013620459076,4.69606240084361,4.793801838690598,0.01627214694531176,18.652228108444803,2.166410783004081,1.8282207128521077,1.97111483270686,0.007660781921870807,6.463491522355071,8.669788765428972,19.561941906793688,5.030702664270754,0.375950588366067,112.29612800378226,0.21388335113467932,0.303797860022779,0.08856825427373693,0.003489633466786296,1.3982776787777
CYVR_26R,26,8.055228031619876,7.636659767057901,5.07152981398152,1.1319009931278146,32.14248049127833,28.838848768691175,62.44434729446842,2.859480388207018,0.3688747129117331,177.80196749790485,5.762771429730236,4.392415641870511,4.494979176631373,0.24323115195664036,16.910768110915978,1.0177711172316164,2.0974941515335295,0.24511403157896527,0.0039894161058668665,10.060519897345937
CYYZ_05,33,1.8269151372887036,2.2241488632623057,1.3609696564315428,0.5055403371426692,13.248568168212081,8.375357405405634,30.557099709564717,0.22902735199640745,0.025498448183412847,155.27590829768496,15.159057216638113,41.660985958377445,1.6850952805276869,0.2410206217265476,182.29901718345758,1.1079876894695364,3.9966952413857784,0.09599620808920062,0.00045613393352988973,21.5785283800107
CYYZ_23,30,1.209282430796223,0.2567899124829281,1.1930504236148352,0.6357386599936774,1.7366566366922882,0.26613888255430473,0.21666113935835202,0.17861545045544602,0.025419753237372333,0.7586510450700956,1.9487705965753046,1.4536953903814624,1.8110083945402788,0.003262849053307093,4.811625576139088,0.14984980373323023,0.12240027684854722,0.09860606935224175,0.0047350463908325535,0.4288508611619357
DAAS_27,31,1.5138098707392451,1.562254567238085,1.1135295648357442,0.17408975572045904,8.018249997288251,0.7576925849212104,1.424954703615319,0.23329945802775853,0.016348082775351713,5.608010383360607,5.918439351867127,18.534617970550972,2.2376501974351752,0.365759317727516,105.23985215834843,0.2793838997535037,0.4760118480655194,0.1316581629478215,0.0013191008803756787,2.478805632509536
DAAS_9,29,2.7209907040674426,6.20442398749431,1.2322070724052168,0.8486719921259862,34.38217104936553,16.668076578280186,49.884453056056195,0.15361803938360197,0.010723396058310186,175.47421826248112,7.417802333554885,29.200896565166776,1.8117214574189644,0.09131945494636051,159.08545131104262,0.4518170010925465,1.196062457809549,0.09764131669007736,0.002357587715001608,6.484110356282419
EDDV_09L,27,6.588624161765934,5.379472110928128,5.741165284879173,0.19298640982503912,18.67694484984831,5.143449887297284,14.285766090554931,2.1633897124984713,0.14971654814577562,75.94977539025136,12.82038604164804,28.892487690854683,4.378522088924958,0.245211453260181,142.09743328969074,28.577616885662625,147.6284424999905,0.09280715307167897,0.0006436617538482792,767.2655894710566
